epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.24026848375797272	0.05329065024852753	0.24849396802509693	0.21185681223869324	0.09337218105792999	0.23283681887509208
20.0	0.2778523862361908	0.060322266072034836	0.2941464672615584	0.2534675598144531	0.11268787831068039	0.27908254785223563
30.0	0.28948548436164856	0.06315481662750244	0.30802779282022874	0.25682327151298523	0.11595236510038376	0.28698651523327146
40.0	0.2863534688949585	0.06512738764286041	0.3003265611820761	0.2532438337802887	0.11192567646503448	0.27956738057297964
50.0	0.2872483432292938	0.06441446393728256	0.2994792413605847	0.24362416565418243	0.10797054320573807	0.2721671175199625
60.0	0.27874723076820374	0.06284208595752716	0.2911051905728167	0.24519015848636627	0.10726845264434814	0.27041623908067036
70.0	0.27427294850349426	0.06297925859689713	0.28046554775675875	0.24049216508865356	0.10595210641622543	0.26206095170372323
80.0	0.2639821469783783	0.060771286487579346	0.27109399744886675	0.23243845999240875	0.10284874588251114	0.25411372626482753
90.0	0.26756152510643005	0.06101346015930176	0.2703847347313005	0.23042507469654083	0.10345017910003662	0.25082281797999906
100.0	0.2519015669822693	0.057578373700380325	0.2600346630538185	0.22796422243118286	0.10194939374923706	0.2478483744560376
110.0	0.2505593001842499	0.05815025418996811	0.2607071501997597	0.22662192583084106	0.10220751166343689	0.24768784615461897
120.0	0.24787472188472748	0.05706511810421944	0.2575561905513766	0.22997763752937317	0.10567071288824081	0.2489727177805517
130.0	0.240715891122818	0.055652350187301636	0.25133834119213144	0.22035793960094452	0.09937044978141785	0.240755311190074
140.0	0.23803134262561798	0.054018016904592514	0.2481725593416144	0.22237136960029602	0.09993120282888412	0.2409309879471037
