epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.23803134262561798	0.05388573184609413	0.24727262018642432	0.2109619826078415	0.09312693029642105	0.23105015466315898
20.0	0.2970917224884033	0.06777339428663254	0.30956152294707046	0.25749439001083374	0.11384036391973495	0.2849850700934198
30.0	0.31051453948020935	0.06839025020599365	0.326067308106127	0.2653243839740753	0.11831962317228317	0.29688422738675857
40.0	0.3069351017475128	0.06793069839477539	0.3229609004988575	0.26152125000953674	0.11729388684034348	0.29330304781636835
50.0	0.29395970702171326	0.06532648950815201	0.30937225757176734	0.26219239830970764	0.11665715277194977	0.2892840250165717
60.0	0.28545862436294556	0.06254948675632477	0.30196262899428883	0.2565995454788208	0.11281825602054596	0.2832245779768278
70.0	0.2845637798309326	0.0630657970905304	0.29638483528554105	0.24899329245090485	0.10912690311670303	0.27462370468612685
80.0	0.27293065190315247	0.06056362763047218	0.2832068957311941	0.24317674338817596	0.10716436058282852	0.2664593520640019
90.0	0.2693512439727783	0.060413770377635956	0.280216005079453	0.24295301735401154	0.10705526173114777	0.26538650116037327
100.0	0.27024608850479126	0.05954386666417122	0.2799198977485757	0.23780761659145355	0.10571169853210449	0.2607005529142786
110.0	0.25950783491134644	0.05745753273367882	0.26983499233849206	0.23355704545974731	0.10338544100522995	0.2547482312801523
120.0	0.2559284269809723	0.05632352456450462	0.2687395215923751	0.2261744886636734	0.10047127306461334	0.2501465202867383
130.0	0.25771814584732056	0.056773629039525986	0.26991103309045006	0.22192393243312836	0.09754262119531631	0.24741842032353442
